outcome,var,encoded,coef,odds_ratio,conf_lower,conf_upper,pval
death_ind,hist_STR_ind,0,1.1898067895828712,3.286446170401759,0.46166204720422516,23.395313728638552,0.23477333266076927
death_ind,hist_CKD_ind,0,2.503644123785274,12.226969464612253,6.542366279272996,22.850873201977485,4.218847493575595e-15
death_ind,hist_COPD_ind,0,1.0350203780621874,2.81516360261851,2.2235190487839778,3.5642357612552122,0.0
death_ind,hist_HTN_ind,0,1.145973305665937,3.1455014017546086,2.5498996975751864,3.880222848706177,0.0
death_ind,hist_HF_ind,0,2.9791872683451777,19.671822233423462,10.514435311735278,36.80469549815009,0.0
death_ind,hist_AIDS_ind,0,0.7996556971334001,2.2247748002686927,0.3126813206394217,15.829608566923044,0.42443633682006565
death_ind,hist_PVD_ind,0,1.116305193029707,3.0535510529579017,0.7616219848861714,12.242522167232158,0.11510737653947833
death_ind,hist_RA_ind,0,1.1857478245420523,3.2731336361204053,1.6305271838715474,6.5705152946084135,0.0008525999235931003
death_ind,hist_AD_ind,0,-0.04524303212486267,0.9557651719642506,0.4280654919124746,2.1339890301800635,0.9120930578421413
death_ind,hist_DM_ind,0,1.0742982898696323,2.9279376160248067,2.130810558059585,4.023266475242094,3.455724595369247e-11
death_ind,hist_COVID_ind,0,-0.7293541408640086,0.48222033594612856,0.24999682571542733,0.930157619939921,0.029554740669831325
death_ind,hist_SUB_ind,0,-18.932986902751612,5.991123362508312e-09,0.0,inf,0.9997218416041611
death_ind,hist_ALC_ind,0,-18.93296434331566,5.991258520396622e-09,0.0,inf,0.9999151625841458
death_ind,age_at_event,0,0.029690019999087748,1.030135163157979,1.018468079873107,1.0419358989696863,3.2403926075730283e-07
death_ind,los,0,-0.0002576716364122634,0.9997423615580727,0.998643898011989,1.0008420333648431,0.6459504094233726
SMMANY_ind,race_source_value_ohe,0,0.5763897125712832,1.7796019444303435,1.4986523274744634,2.1132206733747747,4.8682391451393414e-11
SMMANY_ind,race_source_value_ohe,1,0.8474959959160397,2.333795695370945,2.148667302185241,2.534874683573693,0.0
SMMANY_ind,race_source_value_ohe,2,0.6269228300100902,1.871841732749867,1.7650045530274476,1.9851458549804304,0.0
SMMANY_ind,race_source_value_ohe,3,0.24716583498422512,1.2803914288654739,1.194317917585712,1.372668187400375,3.370193013552125e-12
SMMANY_ind,race_source_value_ohe,4,0.43786353394764316,1.5493934533835574,1.4868403936275298,1.614578191227974,0.0
SMMANY_ind,race_source_value_ohe,5,0.2419607414179394,1.2737441864439438,1.2218503555680535,1.3278420267312188,0.0
SMMANY_ind,ethnicity_source_value_ohe,0,0.2185458342959985,1.2442660453784447,1.1510026445570491,1.345086389682033,3.84474665438006e-08
SMMANY_ind,ethnicity_source_value_ohe,1,0.15986506169634393,1.173352530108922,1.1400251903681309,1.2076541567194965,0.0
SMMANY_ind,bed_size_ohe,0,-22.008851677062456,2.764885580871207e-10,0.0,inf,0.9963862151358556
